#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 1.424499154000000e-001; 4.912633002000000e-001; 3.361149728000000e-001; 4.051561654000000e-002;-1.552399993000000e-001;-4.338569045000000e-001; 3.349499702000000e-001; 4.574022815000000e-002; 3.318080902000000e-001; 6.808299571000000e-002;-1.729905009000000e-001; 5.127803087000000e-001; 3.316005170000000e-001; 4.632161930000000e-002; 1.190151870000000e-001;-4.389583468000000e-001;-1.214173585000000e-001;-4.469601512000000e-001; 3.318712413000000e-001; 4.861366749000000e-002; 1.448254138000000e-001; 5.074614882000000e-001; 3.307031691000000e-001; 5.375457555000000e-002; 3.295305669000000e-001; 7.244709879000000e-002; 1.189146340000000e-001;-4.416081607000000e-001; 3.320575953000000e-001; 5.058737099000000e-002;-1.843147427000000e-001; 5.014805794000000e-001;
2.000000000000000e+000; 1.424601227000000e-001; 4.912416935000000e-001; 3.361102343000000e-001; 4.055252299000000e-002;-1.552721113000000e-001;-4.338330925000000e-001; 3.349635601000000e-001; 4.577188194000000e-002; 3.318018615000000e-001; 6.797451526000001e-002;-1.730861813000000e-001; 5.127896070000000e-001; 3.316212893000000e-001; 4.639000446000000e-002; 1.190786734000000e-001;-4.389990568000000e-001;-1.213881299000000e-001;-4.469557703000000e-001; 3.318220377000000e-001; 4.864233732000000e-002; 1.447992772000000e-001; 5.074869394000000e-001; 3.307560980000000e-001; 5.375101790000000e-002; 3.295705020000000e-001; 7.241509855000000e-002; 1.189192012000000e-001;-4.416545630000000e-001; 3.320527077000000e-001; 5.056906492000000e-002;-1.843125373000000e-001; 5.014846325000000e-001;
3.000000000000000e+000; 1.423908621000000e-001; 4.912717640000000e-001; 3.360690773000000e-001; 4.053930938000000e-002;-1.552686542000000e-001;-4.338263571000000e-001; 3.349731863000000e-001; 4.570117220000000e-002; 3.317780793000000e-001; 6.791768223000000e-002;-1.730714589000000e-001; 5.128163695000000e-001; 3.315988481000000e-001; 4.643135518000000e-002; 1.191438809000000e-001;-4.389564693000000e-001;-1.214280874000000e-001;-4.469131231000000e-001; 3.318595588000000e-001; 4.867199436000000e-002; 1.448192894000000e-001; 5.074548125000000e-001; 3.307479918000000e-001; 5.374583602000000e-002; 3.295312226000000e-001; 7.235673070000000e-002; 1.189353243000000e-001;-4.416400790000000e-001; 3.320622444000000e-001; 5.059116706000000e-002;-1.843253672000000e-001; 5.014975071000000e-001;
4.000000000000000e+000; 1.424150467000000e-001; 4.912470579000000e-001; 3.360849321000000e-001; 4.059772938000000e-002;-1.552043408000000e-001;-4.338277876000000e-001; 3.349744678000000e-001; 4.573212564000000e-002; 3.317408562000000e-001; 6.798168272000001e-002;-1.730205715000000e-001; 5.127599835000000e-001; 3.315892220000000e-001; 4.630227387000000e-002; 1.190617159000000e-001;-4.390058517000000e-001;-1.213628799000000e-001;-4.468992352000000e-001; 3.318239152000000e-001; 4.864669591000000e-002; 1.447934508000000e-001; 5.074332356000000e-001; 3.307236731000000e-001; 5.374806002000000e-002; 3.295037448000000e-001; 7.240641117000000e-002; 1.189229116000000e-001;-4.415945411000000e-001; 3.320068419000000e-001; 5.056317523000000e-002;-1.842882931000000e-001; 5.014695525000000e-001;
5.000000000000000e+000; 1.424723566000000e-001; 4.913017154000000e-001; 3.360927701000000e-001; 4.049937055000000e-002;-1.552804708000000e-001;-4.338375628000000e-001; 3.349245489000000e-001; 4.579182714000000e-002; 3.317755759000000e-001; 6.804518402000000e-002;-1.730806231000000e-001; 5.127925276999999e-001; 3.315969706000000e-001; 4.635490850000000e-002; 1.190273017000000e-001;-4.389286041000000e-001;-1.213849783000000e-001;-4.469740093000000e-001; 3.318558633000000e-001; 4.862377793000000e-002; 1.448115110000000e-001; 5.074436665000000e-001; 3.307520151000000e-001; 5.376485363000000e-002; 3.295798600000000e-001; 7.244238257000001e-002; 1.189065874000000e-001;-4.416280985000000e-001; 3.320311904000000e-001; 5.058375746000000e-002;-1.842873096000000e-001; 5.014877319000000e-001;
6.000000000000000e+000; 1.424369961000000e-001; 4.912867546000000e-001; 3.361009061000000e-001; 4.043374956000000e-002;-1.552477032000000e-001;-4.338519871000000e-001; 3.349864781000000e-001; 4.576388747000000e-002; 3.317970335000000e-001; 6.798119098000000e-002;-1.730462015000000e-001; 5.127580762000000e-001; 3.316022456000000e-001; 4.640660062000000e-002; 1.190482453000000e-001;-4.389867783000000e-001;-1.214293316000000e-001;-4.469740093000000e-001; 3.318591416000000e-001; 4.859853163000000e-002; 1.447785795000000e-001; 5.075027347000000e-001; 3.307281733000000e-001; 5.373162404000000e-002; 3.295675218000000e-001; 7.238813490000000e-002; 1.188847199000000e-001;-4.416407943000000e-001; 3.320931494000000e-001; 5.058634281000000e-002;-1.842912585000000e-001; 5.015022159000000e-001;
7.000000000000000e+000; 1.424657851000000e-001; 4.912628829000000e-001; 3.360572159000000e-001; 4.053960368000000e-002;-1.553040445000000e-001;-4.338418841000000e-001; 3.349754214000000e-001; 4.572525620000000e-002; 3.317931890000000e-001; 6.787829100999999e-002;-1.730627418000000e-001; 5.127734542000000e-001; 3.315977156000000e-001; 4.635307565000000e-002; 1.190899909000000e-001;-4.389412999000000e-001;-1.214604303000000e-001;-4.468962550000000e-001; 3.318450153000000e-001; 4.864117131000000e-002; 1.448142678000000e-001; 5.074424744000000e-001; 3.307094276000000e-001; 5.377664790000000e-002; 3.295454681000000e-001; 7.235363126000000e-002; 1.189619154000000e-001;-4.416112304000000e-001; 3.320654035000000e-001; 5.062452331000000e-002;-1.843372136000000e-001; 5.014694929000000e-001;
8.000000000000000e+000; 1.424440742000000e-001; 4.912153482000000e-001; 3.360652030000000e-001; 4.057110101000000e-002;-1.552381068000000e-001;-4.338521957000000e-001; 3.349836767000000e-001; 4.574345425000000e-002; 3.317976594000000e-001; 6.796801090000000e-002;-1.730295271000000e-001; 5.128205419000000e-001; 3.316113055000000e-001; 4.630149901000000e-002; 1.190953404000000e-001;-4.389329851000000e-001;-1.214073822000000e-001;-4.469002187000000e-001; 3.318481147000000e-001; 4.867567867000000e-002; 1.448418349000000e-001; 5.074470043000000e-001; 3.307321668000000e-001; 5.373441428000000e-002; 3.295181394000000e-001; 7.242105156000001e-002; 1.189472675000000e-001;-4.416429400000000e-001; 3.320565820000000e-001; 5.056853220000000e-002;-1.842913330000000e-001; 5.014227629000000e-001;
9.000000000000000e+000; 1.424374282000000e-001; 4.912911654000000e-001; 3.360948265000000e-001; 4.052044079000000e-002;-1.552249789000000e-001;-4.338485301000000e-001; 3.349668682000000e-001; 4.579514638000000e-002; 3.317308426000000e-001; 6.801746040999999e-002;-1.730126739000000e-001; 5.127678514000000e-001; 3.316192031000000e-001; 4.632126167000000e-002; 1.189886406000000e-001;-4.389946461000000e-001;-1.213717684000000e-001;-4.469413459000000e-001; 3.318800628000000e-001; 4.862998426000000e-002; 1.447573751000000e-001; 5.074362159000000e-001; 3.306911290000000e-001; 5.373418331000000e-002; 3.295705020000000e-001; 7.246209681000000e-002; 1.188821197000000e-001;-4.416401088000000e-001; 3.320588470000000e-001; 5.056972802000000e-002;-1.843082905000000e-001; 5.014788508000000e-001;
1.000000000000000e+001; 1.424664706000000e-001; 4.912541211000000e-001; 3.360862434000000e-001; 4.045501351000000e-002;-1.552453041000000e-001;-4.338749647000000e-001; 3.349462152000000e-001; 4.574352130000000e-002; 3.318031132000000e-001; 6.796654314000000e-002;-1.730389297000000e-001; 5.127522945000000e-001; 3.316362500000000e-001; 4.636860639000000e-002; 1.190662906000000e-001;-4.390020370000000e-001;-1.214269996000000e-001;-4.469491243000000e-001; 3.318404257000000e-001; 4.856854677000000e-002; 1.448290795000000e-001; 5.074647665000001e-001; 3.307197392000000e-001; 5.377030000000000e-002; 3.295840323000000e-001; 7.241626084000000e-002; 1.188909188000000e-001;-4.416887164000000e-001; 3.320316076000000e-001; 5.060076341000000e-002;-1.842958927000000e-001; 5.015012026000000e-001;
