#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 3.609713539000000e-002; 5.022398829000000e-001; 1.784892976000000e-001; 2.903753221000000e-001;-8.591024578000001e-002;-4.657287300000000e-001; 1.738828123000000e-001; 2.927023470000000e-001; 1.795479208000000e-001; 2.897148728000000e-001;-2.594123483000000e-001; 4.747692049000000e-001; 1.840729117000000e-001; 2.824106812000000e-001; 1.857690811000000e-001;-4.181873798000000e-001;-8.735536039000000e-002;-4.661573768000000e-001; 1.818371564000000e-001; 2.840979397000000e-001; 3.571349755000000e-002; 5.164346099000000e-001; 1.776404083000000e-001; 2.866891026000000e-001; 1.746114790000000e-001; 2.910864651000000e-001; 1.874769032000000e-001;-4.192964733000000e-001; 1.807558835000000e-001; 2.857554257000000e-001;-2.708625197000000e-001; 4.582160413000000e-001;
2.000000000000000e+000; 3.601664305000000e-002; 5.022059083000000e-001; 1.785168797000000e-001; 2.902577817000000e-001;-8.592362702000000e-002;-4.657824039000000e-001; 1.738313586000000e-001; 2.927134633000000e-001; 1.794864833000000e-001; 2.897547483000000e-001;-2.593514919000000e-001; 4.746916294000000e-001; 1.840383112000000e-001; 2.824145854000000e-001; 1.856759340000000e-001;-4.181672037000000e-001;-8.729591966000000e-002;-4.661451578000000e-001; 1.818778664000000e-001; 2.840440273000000e-001; 3.570159525000000e-002; 5.164474249000000e-001; 1.775362343000000e-001; 2.866800129000000e-001; 1.745756418000000e-001; 2.910359800000000e-001; 1.874593645000000e-001;-4.192705750000000e-001; 1.807538718000000e-001; 2.857904434000000e-001;-2.708772719000000e-001; 4.582116008000000e-001;
3.000000000000000e+000; 3.605798632000000e-002; 5.022412539000000e-001; 1.785393059000000e-001; 2.902533710000000e-001;-8.596552908000001e-002;-4.656861722000000e-001; 1.738324314000000e-001; 2.927065492000000e-001; 1.795450896000000e-001; 2.898003757000000e-001;-2.593385279000000e-001; 4.747232497000000e-001; 1.840243787000000e-001; 2.824586034000000e-001; 1.856969744000000e-001;-4.181787968000000e-001;-8.734171093000000e-002;-4.661886394000000e-001; 1.818723530000000e-001; 2.840785682000000e-001; 3.569606692000000e-002; 5.164704919000001e-001; 1.775736362000000e-001; 2.866553962000000e-001; 1.745934188000000e-001; 2.910876274000000e-001; 1.874023825000000e-001;-4.193005562000000e-001; 1.807424575000000e-001; 2.857302725000000e-001;-2.708802223000000e-001; 4.582206011000000e-001;
4.000000000000000e+000; 3.607589751000000e-002; 5.022190809000000e-001; 1.784383059000000e-001; 2.903434038000000e-001;-8.598805964000000e-002;-4.657047689000000e-001; 1.739129424000000e-001; 2.927514017000000e-001; 1.795819253000000e-001; 2.897077203000000e-001;-2.593814135000000e-001; 4.747681618000000e-001; 1.840128750000000e-001; 2.824537158000000e-001; 1.858036518000000e-001;-4.181986153000000e-001;-8.739677072000000e-002;-4.661349654000000e-001; 1.818907112000000e-001; 2.841330469000000e-001; 3.573620319000000e-002; 5.164355040000001e-001; 1.775749028000000e-001; 2.866645753000000e-001; 1.745883971000000e-001; 2.910121083000000e-001; 1.874989718000000e-001;-4.193254113000000e-001; 1.807471216000000e-001; 2.857193053000000e-001;-2.708952427000000e-001; 4.581810534000000e-001;
5.000000000000000e+000; 3.606188297000000e-002; 5.021927953000001e-001; 1.784614325000000e-001; 2.903440595000000e-001;-8.587525785000000e-002;-4.656859934000000e-001; 1.738809645000000e-001; 2.927455008000000e-001; 1.794881970000000e-001; 2.897599339000000e-001;-2.593967617000000e-001; 4.747632146000000e-001; 1.840507388000000e-001; 2.824225724000000e-001; 1.857727766000000e-001;-4.181880951000000e-001;-8.737402409000000e-002;-4.661443532000000e-001; 1.818511337000000e-001; 2.841126025000000e-001; 3.572534025000000e-002; 5.164111853000000e-001; 1.775846779000000e-001; 2.866487205000000e-001; 1.745766401000000e-001; 2.910810113000000e-001; 1.875143796000000e-001;-4.192770422000000e-001; 1.807522774000000e-001; 2.857724130000000e-001;-2.708514631000000e-001; 4.582183659000000e-001;
6.000000000000000e+000; 3.603944182000000e-002; 5.022107959000000e-001; 1.785116345000000e-001; 2.903042138000000e-001;-8.588597178000000e-002;-4.657128155000000e-001; 1.738069355000000e-001; 2.927556336000000e-001; 1.794593781000000e-001; 2.898077965000000e-001;-2.594200671000000e-001; 4.747766852000000e-001; 1.840782315000000e-001; 2.824108601000000e-001; 1.856929809000000e-001;-4.182102382000000e-001;-8.734092860999999e-002;-4.661913812000000e-001; 1.818694472000000e-001; 2.841156423000000e-001; 3.571726754000000e-002; 5.164590478000000e-001; 1.775790155000000e-001; 2.866659164000000e-001; 1.745827943000000e-001; 2.910879850000000e-001; 1.874777824000000e-001;-4.193335474000000e-001; 1.807754785000000e-001; 2.857490778000000e-001;-2.708269656000000e-001; 4.582424164000000e-001;
7.000000000000000e+000; 3.603594378000000e-002; 5.022284985000000e-001; 1.785355955000000e-001; 2.902978659000000e-001;-8.593036234000000e-002;-4.657644033000000e-001; 1.738446951000000e-001; 2.927657068000000e-001; 1.795189679000000e-001; 2.897427976000000e-001;-2.594124973000000e-001; 4.747321904000000e-001; 1.840285808000000e-001; 2.824629545000000e-001; 1.857382059000000e-001;-4.182177782000000e-001;-8.739506453000000e-002;-4.661689401000000e-001; 1.819348931000000e-001; 2.840848863000000e-001; 3.576366603000000e-002; 5.164224505000000e-001; 1.775952876000000e-001; 2.866393030000000e-001; 1.745722294000000e-001; 2.910517156000000e-001; 1.874029189000000e-001;-4.193508327000000e-001; 1.807922125000000e-001; 2.857308090000000e-001;-2.708842158000000e-001; 4.582909942000000e-001;
8.000000000000000e+000; 3.606812656000000e-002; 5.021885633000000e-001; 1.784434617000000e-001; 2.903634310000000e-001;-8.598736674000000e-002;-4.657356739000000e-001; 1.738601476000000e-001; 2.927248478000000e-001; 1.795904338000000e-001; 2.896837294000000e-001;-2.594124377000000e-001; 4.747531116000000e-001; 1.839999855000000e-001; 2.825089395000000e-001; 1.857879013000000e-001;-4.181743562000000e-001;-8.738331497000000e-002;-4.661734402000000e-001; 1.818710715000000e-001; 2.840930820000000e-001; 3.573098779000000e-002; 5.164783597000000e-001; 1.775937974000000e-001; 2.866476178000000e-001; 1.746377349000000e-001; 2.910781801000000e-001; 1.874765605000000e-001;-4.192915559000000e-001; 1.808078140000000e-001; 2.857472301000000e-001;-2.708662748000000e-001; 4.582644403000000e-001;
9.000000000000000e+000; 3.603739291000000e-002; 5.022649765000000e-001; 1.784505695000000e-001; 2.903302908000000e-001;-8.588019013000001e-002;-4.657202661000000e-001; 1.738839447000000e-001; 2.927749157000000e-001; 1.794881523000000e-001; 2.897809744000000e-001;-2.593595088000000e-001; 4.747093320000000e-001; 1.840958893000000e-001; 2.823830843000000e-001; 1.857617497000000e-001;-4.181913137000000e-001;-8.735272288000000e-002;-4.661976993000000e-001; 1.818347275000000e-001; 2.840867341000000e-001; 3.572396934000000e-002; 5.164170861000000e-001; 1.775790751000000e-001; 2.866252959000000e-001; 1.745980382000000e-001; 2.911036909000000e-001; 1.874498725000000e-001;-4.193083346000000e-001; 1.807606667000000e-001; 2.857391238000000e-001;-2.708638310000000e-001; 4.582624733000000e-001;
1.000000000000000e+001; 3.602267429000000e-002; 5.022429228000001e-001; 1.785134524000000e-001; 2.902852595000000e-001;-8.586768061000000e-002;-4.656824768000000e-001; 1.738303751000000e-001; 2.927668095000000e-001; 1.794502288000000e-001; 2.898199856000000e-001;-2.593653500000000e-001; 4.747253060000000e-001; 1.840762496000000e-001; 2.824258804000000e-001; 1.857231557000000e-001;-4.182007611000000e-001;-8.734690398000000e-002;-4.661726952000000e-001; 1.818441898000000e-001; 2.841087282000000e-001; 3.572317213000000e-002; 5.163971782000000e-001; 1.775806099000000e-001; 2.866587341000000e-001; 1.745496094000000e-001; 2.911365926000000e-001; 1.874356866000000e-001;-4.193072021000000e-001; 1.807677895000000e-001; 2.857333124000000e-001;-2.709015012000000e-001; 4.582543373000000e-001;
