#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 3.762140125000000e-002; 4.883482456000000e-001;-2.566310763000000e-001; 2.297350615000000e-001;-5.083909258000000e-002;-4.843140841000000e-001;-2.604420781000000e-001; 2.254531980000000e-001;-2.560191751000000e-001; 2.305059284000000e-001;-2.400063872000000e-001; 4.608712494000000e-001;-2.483085692000000e-001; 2.345557958000000e-001; 2.352377772000000e-001;-4.170896411000000e-001;-5.524349958000000e-002;-4.836029112000000e-001;-2.498592138000000e-001; 2.324312776000000e-001; 3.901035711000000e-002; 5.011367202000000e-001;-2.537986636000000e-001; 2.284528166000000e-001;-2.581307590000000e-001; 2.263384759000000e-001; 2.343190759000000e-001;-4.179665446000000e-001;-2.523441613000000e-001; 2.317757457000000e-001;-2.494088560000000e-001; 4.449001551000000e-001;
2.000000000000000e+000; 3.753365576000000e-002; 4.883803725000000e-001;-2.566323578000000e-001; 2.298220396000000e-001;-5.085390434000000e-002;-4.843088090000000e-001;-2.604511380000000e-001; 2.254448533000000e-001;-2.560766935000000e-001; 2.304941118000000e-001;-2.400141954000000e-001; 4.608614743000000e-001;-2.483339459000000e-001; 2.344981581000000e-001; 2.352101505000000e-001;-4.171170890000000e-001;-5.521600693000000e-002;-4.836392701000000e-001;-2.498754859000000e-001; 2.324121296000000e-001; 3.901288658000000e-002; 5.011581182000000e-001;-2.537941635000000e-001; 2.284403741000000e-001;-2.581472695000000e-001; 2.263646722000000e-001; 2.343071401000000e-001;-4.179829359000000e-001;-2.523604035000000e-001; 2.317247689000000e-001;-2.493859380000000e-001; 4.448688328000000e-001;
3.000000000000000e+000; 3.756625578000000e-002; 4.883574843000000e-001;-2.565748394000000e-001; 2.298049331000000e-001;-5.090085045000000e-002;-4.843032062000000e-001;-2.604773641000000e-001; 2.254444361000000e-001;-2.559263706000000e-001; 2.306088507000000e-001;-2.400030196000000e-001; 4.608736932000000e-001;-2.483973354000000e-001; 2.344485670000000e-001; 2.352595180000000e-001;-4.170913398000000e-001;-5.532272905000000e-002;-4.836224020000000e-001;-2.498412430000000e-001; 2.324510813000000e-001; 3.904080391000000e-002; 5.011842251000001e-001;-2.537717521000000e-001; 2.284576446000000e-001;-2.580831051000000e-001; 2.263457626000000e-001; 2.342336923000000e-001;-4.179952443000000e-001;-2.523645461000000e-001; 2.317284942000000e-001;-2.493916452000000e-001; 4.448997378000000e-001;
4.000000000000000e+000; 3.758271784000000e-002; 4.883684218000000e-001;-2.567027807000000e-001; 2.297371924000000e-001;-5.084642768000000e-002;-4.843029082000000e-001;-2.604356706000000e-001; 2.254902422000000e-001;-2.559521198000000e-001; 2.306468040000000e-001;-2.400024980000000e-001; 4.608609974000000e-001;-2.483890355000000e-001; 2.344458401000000e-001; 2.352471650000000e-001;-4.171289504000000e-001;-5.530635267000000e-002;-4.835886657000000e-001;-2.498514205000000e-001; 2.324036211000000e-001; 3.901560232000000e-002; 5.011638403000001e-001;-2.538090348000000e-001; 2.284400314000000e-001;-2.581154704000000e-001; 2.263402939000000e-001; 2.343004048000000e-001;-4.179807901000000e-001;-2.523568273000000e-001; 2.317045182000000e-001;-2.493650317000000e-001; 4.449118674000000e-001;
5.000000000000000e+000; 3.756095842000000e-002; 4.884050786000000e-001;-2.565935850000000e-001; 2.297405601000000e-001;-5.075496435000000e-002;-4.843080938000000e-001;-2.604608238000000e-001; 2.254548222000000e-001;-2.560365498000000e-001; 2.305455208000000e-001;-2.399946749000000e-001; 4.608871341000000e-001;-2.483292967000000e-001; 2.344982624000000e-001; 2.352014482000000e-001;-4.171892703000000e-001;-5.529914796000000e-002;-4.836644232000000e-001;-2.498399317000000e-001; 2.324493378000000e-001; 3.901159391000000e-002; 5.011602640000000e-001;-2.537401021000000e-001; 2.284595668000000e-001;-2.581336200000000e-001; 2.263399363000000e-001; 2.342952788000000e-001;-4.180228710000000e-001;-2.523500323000000e-001; 2.316935062000000e-001;-2.493778765000000e-001; 4.449101985000000e-001;
6.000000000000000e+000; 3.758948296000000e-002; 4.884405136000000e-001;-2.565612793000000e-001; 2.298469841000000e-001;-5.084314942000000e-002;-4.843318164000000e-001;-2.604492307000000e-001; 2.254208475000000e-001;-2.560712993000000e-001; 2.305030823000000e-001;-2.399854213000000e-001; 4.608586133000000e-001;-2.483730018000000e-001; 2.344733626000000e-001; 2.351699024000000e-001;-4.171704352000000e-001;-5.530366674000000e-002;-4.836669564000000e-001;-2.498131096000000e-001; 2.324851304000000e-001; 3.902651742000000e-002; 5.011655688000000e-001;-2.537713945000000e-001; 2.284332663000000e-001;-2.581388354000000e-001; 2.263333499000000e-001; 2.342363149000000e-001;-4.180139303000000e-001;-2.523576021000000e-001; 2.317233533000000e-001;-2.493467778000000e-001; 4.448599219000000e-001;
7.000000000000000e+000; 3.763792664000000e-002; 4.884079695000000e-001;-2.565523386000000e-001; 2.298231572000000e-001;-5.089393258000000e-002;-4.842622280000000e-001;-2.604176402000000e-001; 2.254830301000000e-001;-2.559855282000000e-001; 2.305719852000000e-001;-2.399855405000000e-001; 4.608389735000000e-001;-2.483602464000000e-001; 2.344889045000000e-001; 2.352663875000000e-001;-4.171398580000000e-001;-5.531904101000000e-002;-4.836170673000000e-001;-2.497885078000000e-001; 2.324688733000000e-001; 3.904180229000000e-002; 5.011816621000000e-001;-2.537461817000000e-001; 2.284169346000000e-001;-2.581053972000000e-001; 2.263491303000000e-001; 2.342072129000000e-001;-4.179921448000000e-001;-2.523392439000000e-001; 2.317171246000000e-001;-2.494222671000000e-001; 4.448678493000000e-001;
8.000000000000000e+000; 3.757131472000000e-002; 4.883664250000000e-001;-2.566421926000000e-001; 2.297360301000000e-001;-5.085925013000000e-002;-4.843268096000000e-001;-2.604090273000000e-001; 2.254951298000000e-001;-2.560037673000000e-001; 2.305514812000000e-001;-2.399907261000000e-001; 4.608311355000000e-001;-2.483729720000000e-001; 2.344452292000000e-001; 2.352910489000000e-001;-4.171557128000000e-001;-5.532463640000000e-002;-4.836350381000000e-001;-2.498979717000000e-001; 2.324154377000000e-001; 3.905085847000000e-002; 5.012019277000001e-001;-2.537958324000000e-001; 2.284943610000000e-001;-2.580856085000000e-001; 2.263414711000000e-001; 2.343290597000000e-001;-4.179516733000000e-001;-2.523563206000000e-001; 2.317140102000000e-001;-2.494003624000000e-001; 4.448990822000000e-001;
9.000000000000000e+000; 3.755791485000000e-002; 4.884114265000000e-001;-2.566182315000000e-001; 2.296919227000000e-001;-5.083972216000000e-002;-4.843584895000000e-001;-2.604750693000000e-001; 2.254951149000000e-001;-2.559953332000000e-001; 2.305250615000000e-001;-2.399918139000000e-001; 4.608844817000000e-001;-2.483257651000000e-001; 2.345108688000000e-001; 2.352273315000000e-001;-4.171198010000000e-001;-5.529239401000000e-002;-4.836694002000000e-001;-2.499173135000000e-001; 2.324237674000000e-001; 3.905074298000000e-002; 5.011807680000000e-001;-2.537731528000000e-001; 2.284515649000000e-001;-2.581261694000000e-001; 2.263323814000000e-001; 2.343111336000000e-001;-4.179532230000000e-001;-2.524108887000000e-001; 2.317458093000000e-001;-2.493896484000000e-001; 4.448694587000000e-001;
1.000000000000000e+001; 3.759395704000000e-002; 4.883700311000000e-001;-2.565329373000000e-001; 2.297928333000000e-001;-5.083836615000000e-002;-4.842887223000000e-001;-2.605002820000000e-001; 2.253605127000000e-001;-2.560637295000000e-001; 2.305451781000000e-001;-2.400219142000000e-001; 4.608615339000000e-001;-2.483964562000000e-001; 2.344966531000000e-001; 2.352275997000000e-001;-4.171749055000000e-001;-5.524851754000000e-002;-4.836599231000000e-001;-2.498280257000000e-001; 2.324417531000000e-001; 3.898696974000000e-002; 5.011839271000000e-001;-2.538295984000000e-001; 2.284585983000000e-001;-2.581200600000000e-001; 2.263041735000000e-001; 2.342613339000000e-001;-4.179807901000000e-001;-2.523806691000000e-001; 2.317225486000000e-001;-2.494196743000000e-001; 4.448905289000000e-001;
