#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 5.094479769000000e-002; 4.764461517000000e-001; 2.204920053000000e-001; 2.604880035000000e-001;-6.210623309000000e-002;-4.919838011000000e-001; 2.155366540000000e-001; 2.642604411000000e-001; 2.222992182000000e-001; 2.592229545000000e-001;-2.256312519000000e-001; 4.585742056000000e-001; 2.253076732000000e-001; 2.518516779000000e-001; 2.226095796000000e-001;-4.290088415000000e-001;-6.499568373000000e-002;-4.929384887000000e-001; 2.230335772000000e-001; 2.535276115000000e-001; 4.987656325000000e-002; 4.887321889000000e-001; 2.183538228000000e-001; 2.574012280000000e-001; 2.173594385000000e-001; 2.613717914000000e-001; 2.235405594000000e-001;-4.308126867000000e-001; 2.221881151000000e-001; 2.557475269000000e-001;-2.392371446000000e-001; 4.440049529000000e-001;
2.000000000000000e+000; 5.092618614000000e-002; 4.764369726000000e-001; 2.204883993000000e-001; 2.604857385000000e-001;-6.215385348000000e-002;-4.919640422000000e-001; 2.155842632000000e-001; 2.642486393000000e-001; 2.223566622000000e-001; 2.591688633000000e-001;-2.256645709000000e-001; 4.585783780000000e-001; 2.252439857000000e-001; 2.518547177000000e-001; 2.226672024000000e-001;-4.289892316000000e-001;-6.506274641000000e-002;-4.929541349000000e-001; 2.230619043000000e-001; 2.535052299000000e-001; 4.994530231000000e-002; 4.886924326000000e-001; 2.183624804000000e-001; 2.574528754000000e-001; 2.174638063000000e-001; 2.613265812000000e-001; 2.235086262000000e-001;-4.308479726000000e-001; 2.222003341000000e-001; 2.557515204000000e-001;-2.392687351000000e-001; 4.440221488000000e-001;
3.000000000000000e+000; 5.094370618000000e-002; 4.763953388000000e-001; 2.204200923000000e-001; 2.605845332000000e-001;-6.214763597000000e-002;-4.919786453000000e-001; 2.156197429000000e-001; 2.642446458000000e-001; 2.223939449000000e-001; 2.590860724000000e-001;-2.256975472000000e-001; 4.585672319000000e-001; 2.252561450000000e-001; 2.518728375000000e-001; 2.226757854000000e-001;-4.289834797000000e-001;-6.507188827000000e-002;-4.929672778000000e-001; 2.230043113000000e-001; 2.535763979000000e-001; 4.993846267000000e-002; 4.887274206000000e-001; 2.183748186000000e-001; 2.574479878000000e-001; 2.174302936000000e-001; 2.613414228000000e-001; 2.235594243000000e-001;-4.307877123000000e-001; 2.221746147000000e-001; 2.557696402000000e-001;-2.392577827000000e-001; 4.440454543000000e-001;
4.000000000000000e+000; 5.092420802000000e-002; 4.764314592000000e-001; 2.204398960000000e-001; 2.605834305000000e-001;-6.213456765000000e-002;-4.919669032000000e-001; 2.155655324000000e-001; 2.642455101000000e-001; 2.223256826000000e-001; 2.591888309000000e-001;-2.256554365000000e-001; 4.585911632000000e-001; 2.253727913000000e-001; 2.517707944000000e-001; 2.226991355000000e-001;-4.290252924000000e-001;-6.507769972000001e-002;-4.929469824000000e-001; 2.229967117000000e-001; 2.535530627000000e-001; 4.996542633000000e-002; 4.887215197000000e-001; 2.183983922000000e-001; 2.574703693000000e-001; 2.174160331000000e-001; 2.613178194000000e-001; 2.235374451000000e-001;-4.307990968000000e-001; 2.222038060000000e-001; 2.557355762000000e-001;-2.392583042000000e-001; 4.440250099000000e-001;
5.000000000000000e+000; 5.087006465000000e-002; 4.764898121000000e-001; 2.204600722000000e-001; 2.605356574000000e-001;-6.210613251000000e-002;-4.919670224000000e-001; 2.155386508000000e-001; 2.642344534000000e-001; 2.222773284000000e-001; 2.592975795000000e-001;-2.256974578000000e-001; 4.585968256000000e-001; 2.253216803000000e-001; 2.517673075000000e-001; 2.226485610000000e-001;-4.289881885000000e-001;-6.497268379000000e-002;-4.929706454000000e-001; 2.230105251000000e-001; 2.535533011000000e-001; 4.989802092000000e-002; 4.887420833000000e-001; 2.183643281000000e-001; 2.574378252000000e-001; 2.173481882000000e-001; 2.613926828000000e-001; 2.235547751000000e-001;-4.308331907000000e-001; 2.222195566000000e-001; 2.557535768000000e-001;-2.392555773000000e-001; 4.440383613000000e-001;
6.000000000000000e+000; 5.093667284000000e-002; 4.764113426000000e-001; 2.204733193000000e-001; 2.604935765000000e-001;-6.215275824000000e-002;-4.919220507000000e-001; 2.155918777000000e-001; 2.642427683000000e-001; 2.223271728000000e-001; 2.591720223000000e-001;-2.256853431000000e-001; 4.585798681000000e-001; 2.253032923000000e-001; 2.518739998000000e-001; 2.226638049000000e-001;-4.289897978000000e-001;-6.503129750000000e-002;-4.929436147000000e-001; 2.230736017000000e-001; 2.535528243000000e-001; 4.990116879000000e-002; 4.887770414000000e-001; 2.183578908000000e-001; 2.574023902000000e-001; 2.173774391000000e-001; 2.613639534000000e-001; 2.235298008000000e-001;-4.308031797000000e-001; 2.222055942000000e-001; 2.557605207000000e-001;-2.392475158000000e-001; 4.440419376000000e-001;
7.000000000000000e+000; 5.090930313000000e-002; 4.764000773000000e-001; 2.203859687000000e-001; 2.605706155000000e-001;-6.216394156000000e-002;-4.919613302000000e-001; 2.156493366000000e-001; 2.642126381000000e-001; 2.223722935000000e-001; 2.591440976000000e-001;-2.257095724000000e-001; 4.585750103000000e-001; 2.252470553000000e-001; 2.518516779000000e-001; 2.226660699000000e-001;-4.289653301000000e-001;-6.508725881999999e-002;-4.929195344000000e-001; 2.229853868000000e-001; 2.536087632000000e-001; 4.993644357000000e-002; 4.887175858000000e-001; 2.183888406000000e-001; 2.573752999000000e-001; 2.174197435000000e-001; 2.613007724000000e-001; 2.235895693000000e-001;-4.307655394000000e-001; 2.221929133000000e-001; 2.557517290000000e-001;-2.392354906000000e-001; 4.440214932000000e-001;
8.000000000000000e+000; 5.088838190000000e-002; 4.763960540000000e-001; 2.204030603000000e-001; 2.605619133000000e-001;-6.215323508000000e-002;-4.919248223000000e-001; 2.155962139000000e-001; 2.642081678000000e-001; 2.223531306000000e-001; 2.591262758000000e-001;-2.256565988000000e-001; 4.585367143000000e-001; 2.253044546000000e-001; 2.518256307000000e-001; 2.226746231000000e-001;-4.289763570000000e-001;-6.505879015000000e-002;-4.929707944000000e-001; 2.229919732000000e-001; 2.535704672000000e-001; 4.991677031000000e-002; 4.887129962000000e-001; 2.183805406000000e-001; 2.574285269000000e-001; 2.174412161000000e-001; 2.612941563000000e-001; 2.235922515000000e-001;-4.307637513000000e-001; 2.222151905000000e-001; 2.557975054000000e-001;-2.392743975000000e-001; 4.440385103000000e-001;
9.000000000000000e+000; 5.092009902000000e-002; 4.764131010000000e-001; 2.204554677000000e-001; 2.604980469000000e-001;-6.206270307000000e-002;-4.919682741000000e-001; 2.155197114000000e-001; 2.642322779000000e-001; 2.223073542000000e-001; 2.591907084000000e-001;-2.256818861000000e-001; 4.585514069000000e-001; 2.252998501000000e-001; 2.518464327000000e-001; 2.225993276000000e-001;-4.290113449000000e-001;-6.500419229000000e-002;-4.929485619000000e-001; 2.230315655000000e-001; 2.535229623000000e-001; 4.991183430000000e-002; 4.887610674000000e-001; 2.183874995000000e-001; 2.574425042000000e-001; 2.173822224000000e-001; 2.613307238000000e-001; 2.235437036000000e-001;-4.307778776000000e-001; 2.221715599000000e-001; 2.557787895000000e-001;-2.392548621000000e-001; 4.440754950000000e-001;
1.000000000000000e+001; 5.096992105000000e-002; 4.764245152000000e-001; 2.204834819000000e-001; 2.604872286000000e-001;-6.213096529000000e-002;-4.919658303000000e-001; 2.155480981000000e-001; 2.642446458000000e-001; 2.223358154000000e-001; 2.591769099000000e-001;-2.256384641000000e-001; 4.585859478000000e-001; 2.252687365000000e-001; 2.518726289000000e-001; 2.226724029000000e-001;-4.289988577000000e-001;-6.501217932000000e-002;-4.929275811000000e-001; 2.230534703000000e-001; 2.535105348000000e-001; 4.991028830000000e-002; 4.887340069000000e-001; 2.183753252000000e-001; 2.574584484000000e-001; 2.174052000000000e-001; 2.613144815000000e-001; 2.235154212000000e-001;-4.308246076000000e-001; 2.221697122000000e-001; 2.557807565000000e-001;-2.392732054000000e-001; 4.440329075000000e-001;
1.100000000000000e+001; 5.093176663000000e-002; 4.764384329000000e-001; 2.204000503000000e-001; 2.605237067000000e-001;-6.215547025000000e-002;-4.919795394000000e-001; 2.155868858000000e-001; 2.642267942000000e-001; 2.223364413000000e-001; 2.591091692000000e-001;-2.256900370000000e-001; 4.585222304000000e-001; 2.253226191000000e-001; 2.518303096000000e-001; 2.227014899000000e-001;-4.289950132000000e-001;-6.513134390000000e-002;-4.929594398000000e-001; 2.230398953000000e-001; 2.535736263000000e-001; 4.988748580000000e-002; 4.887444973000000e-001; 2.184106410000000e-001; 2.574052215000000e-001; 2.174736708000000e-001; 2.613189518000000e-001; 2.236202508000000e-001;-4.308020175000000e-001; 2.221870720000000e-001; 2.557891011000000e-001;-2.392583936000000e-001; 4.440036416000000e-001;
1.200000000000000e+001; 5.097525939000000e-002; 4.764340520000000e-001; 2.203827798000000e-001; 2.605700195000000e-001;-6.213134527000000e-002;-4.919463098000000e-001; 2.156129926000000e-001; 2.642372549000000e-001; 2.222974002000000e-001; 2.591786385000000e-001;-2.257264107000000e-001; 4.585817456000000e-001; 2.253851444000000e-001; 2.517839670000000e-001; 2.227206230000000e-001;-4.289165735000000e-001;-6.507569551000000e-002;-4.929479063000000e-001; 2.229997367000000e-001; 2.535986602000000e-001; 4.993613064000000e-002; 4.887678325000000e-001; 2.183932513000000e-001; 2.574108541000000e-001; 2.173654139000000e-001; 2.613662183000000e-001; 2.236149311000000e-001;-4.307597876000000e-001; 2.222041637000000e-001; 2.557617724000000e-001;-2.392684072000000e-001; 4.440020621000000e-001;
