#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 3.473103791000000e-002; 4.877210259000000e-001; 7.571993768000000e-002; 3.329412341000000e-001;-8.120723069000001e-002;-4.804018140000000e-001; 7.162271440000000e-002; 3.338336051000000e-001; 7.686130702000001e-002; 3.329319358000000e-001;-2.474353462000000e-001; 4.605444670000000e-001; 8.341588080000000e-002; 3.274801672000000e-001; 2.007038146000000e-001;-4.276134372000000e-001;-8.404235542000001e-002;-4.798300564000000e-001; 8.154287934000000e-002; 3.278329670000000e-001; 3.547659516000000e-002; 4.983908832000000e-001; 7.760810107000001e-002; 3.289642632000000e-001; 7.176505774000000e-002; 3.327552080000000e-001; 2.036052793000000e-001;-4.273518920000000e-001; 7.907330244999999e-002; 3.296866119000000e-001;-2.572712898000000e-001; 4.454976916000000e-001;
2.000000000000000e+000; 3.478073329000000e-002; 4.877287149000000e-001; 7.565182447000000e-002; 3.329609931000000e-001;-8.125909418000001e-002;-4.803962708000000e-001; 7.167781889000000e-002; 3.338348866000000e-001; 7.697275281000000e-002; 3.329096138000000e-001;-2.475209385000000e-001; 4.605619609000000e-001; 8.330260217000000e-002; 3.275136054000000e-001; 2.007561475000000e-001;-4.276366830000000e-001;-8.408173174000000e-002;-4.798187315000000e-001; 8.147725463000000e-002; 3.278839290000000e-001; 3.546462953000000e-002; 4.984392226000000e-001; 7.764391600999999e-002; 3.290154934000000e-001; 7.183685154000000e-002; 3.327335417000000e-001; 2.036459446000000e-001;-4.273892939000000e-001; 7.905580103000000e-002; 3.297357261000000e-001;-2.572715282000000e-001; 4.455188513000000e-001;
3.000000000000000e+000; 3.470896557000000e-002; 4.876870215000000e-001; 7.558560371000000e-002; 3.330198228000000e-001;-8.124172688000000e-002;-4.804481864000000e-001; 7.170273364000000e-002; 3.338669240000000e-001; 7.698867470000000e-002; 3.328675628000000e-001;-2.475142926000000e-001; 4.605813622000000e-001; 8.329150081000000e-002; 3.275032043000000e-001; 2.008066028000000e-001;-4.276290536000000e-001;-8.410713077000000e-002;-4.798125327000000e-001; 8.148007840000000e-002; 3.279133737000000e-001; 3.548361734000000e-002; 4.984200597000000e-001; 7.764141262000000e-002; 3.290137947000000e-001; 7.184059173000000e-002; 3.326919377000000e-001; 2.037068754000000e-001;-4.273554981000000e-001; 7.899913937000000e-002; 3.297415674000000e-001;-2.572426200000000e-001; 4.455423057000000e-001;
4.000000000000000e+000; 3.472625464000000e-002; 4.877112210000000e-001; 7.566216588000001e-002; 3.329611123000000e-001;-8.115617931000001e-002;-4.803671241000000e-001; 7.162149996000000e-002; 3.338500261000000e-001; 7.697445154000000e-002; 3.329084814000000e-001;-2.475077808000000e-001; 4.605796337000000e-001; 8.333230019000000e-002; 3.274470568000000e-001; 2.007342428000000e-001;-4.276334941000000e-001;-8.403738588000000e-002;-4.798216522000000e-001; 8.152291179000000e-002; 3.278715909000000e-001; 3.548728675000000e-002; 4.983806312000000e-001; 7.763516158000000e-002; 3.289802969000000e-001; 7.183052599000001e-002; 3.327078521000000e-001; 2.037045509000000e-001;-4.273638427000000e-001; 7.906714082000001e-002; 3.297284842000000e-001;-2.572602332000000e-001; 4.454974532000000e-001;
5.000000000000000e+000; 3.472484648000000e-002; 4.877067506000000e-001; 7.573236525000000e-002; 3.328990340000000e-001;-8.118824661000000e-002;-4.803919792000000e-001; 7.157234848000001e-002; 3.338749409000000e-001; 7.690519094000001e-002; 3.329260647000000e-001;-2.474901974000000e-001; 4.605418146000000e-001; 8.337333798000000e-002; 3.274537623000000e-001; 2.006818950000000e-001;-4.276501536000000e-001;-8.406086266000000e-002;-4.798146486000000e-001; 8.157421649000000e-002; 3.278262913000000e-001; 3.550475463000000e-002; 4.983797073000000e-001; 7.760491966999999e-002; 3.289429843000000e-001; 7.180266082000000e-002; 3.326998055000000e-001; 2.036399692000000e-001;-4.273701906000000e-001; 7.908895612000000e-002; 3.296526968000000e-001;-2.572327554000000e-001; 4.455174804000000e-001;
6.000000000000000e+000; 3.473839909000000e-002; 4.877116978000000e-001; 7.573415339000000e-002; 3.329505920000000e-001;-8.129431307000000e-002;-4.803856313000000e-001; 7.160139829000001e-002; 3.338357806000000e-001; 7.694050669999999e-002; 3.329200745000000e-001;-2.475132644000000e-001; 4.605921805000000e-001; 8.333387971000000e-002; 3.274979591000000e-001; 2.007451355000000e-001;-4.276200235000000e-001;-8.409157395000000e-002;-4.798178673000000e-001; 8.155752718000001e-002; 3.278730810000000e-001; 3.548568115000000e-002; 4.984234273000000e-001; 7.756505162000001e-002; 3.289720714000000e-001; 7.187023759000000e-002; 3.326922357000000e-001; 2.036060095000000e-001;-4.273897409000000e-001; 7.906547189000000e-002; 3.296979070000000e-001;-2.572335601000000e-001; 4.454804957000000e-001;
7.000000000000000e+000; 3.476825356000000e-002; 4.876615405000000e-001; 7.562200725000000e-002; 3.330158889000000e-001;-8.123929054000000e-002;-4.803138375000000e-001; 7.171714306000000e-002; 3.338477910000000e-001; 7.695221901000000e-002; 3.328761160000000e-001;-2.475185841000000e-001; 4.605888724000000e-001; 8.335228264000000e-002; 3.274689019000000e-001; 2.008063197000000e-001;-4.276096523000000e-001;-8.413943648000000e-002;-4.797562659000000e-001; 8.150567859000001e-002; 3.278649747000000e-001; 3.547939658000000e-002; 4.983738065000000e-001; 7.759748398999999e-002; 3.289427459000000e-001; 7.189273089000001e-002; 3.326990902000000e-001; 2.036733180000000e-001;-4.273602366000000e-001; 7.904136181000000e-002; 3.297491372000000e-001;-2.572417557000000e-001; 4.455334842000000e-001;
8.000000000000000e+000; 3.474142402000000e-002; 4.876888394000000e-001; 7.567135245000001e-002; 3.329728246000000e-001;-8.117533474999999e-002;-4.803601801000000e-001; 7.161319256000000e-002; 3.338136673000000e-001; 7.688429207000000e-002; 3.328905106000000e-001;-2.474879920000000e-001; 4.605686367000000e-001; 8.344310521999999e-002; 3.274410069000000e-001; 2.007331848000000e-001;-4.275717139000000e-001;-8.409185708000000e-002;-4.798271060000000e-001; 8.154065906999999e-002; 3.278722465000000e-001; 3.552137315000000e-002; 4.984073937000000e-001; 7.761228830000000e-002; 3.289823234000000e-001; 7.184199988999999e-002; 3.327224255000000e-001; 2.036654800000000e-001;-4.273816645000000e-001; 7.907761633000000e-002; 3.297033906000000e-001;-2.572675347000000e-001; 4.454897940000000e-001;
9.000000000000000e+000; 3.479156643000000e-002; 4.876849651000000e-001; 7.563063502000000e-002; 3.329421878000000e-001;-8.119183034000001e-002;-4.803881645000000e-001; 7.162205875000000e-002; 3.338847458000000e-001; 7.689844072000000e-002; 3.328853250000000e-001;-2.475054264000000e-001; 4.605576098000000e-001; 8.334010839000000e-002; 3.274872303000000e-001; 2.006924152000000e-001;-4.276395440000000e-001;-8.406471460999999e-002;-4.798047543000000e-001; 8.151717484000000e-002; 3.278807700000000e-001; 3.550205752000000e-002; 4.984116256000000e-001; 7.763926685000000e-002; 3.290348947000000e-001; 7.181990147000000e-002; 3.327237070000000e-001; 2.036400139000000e-001;-4.273397028000000e-001; 7.906407118000000e-002; 3.297245502000000e-001;-2.572917640000000e-001; 4.455398619000000e-001;
1.000000000000000e+001; 3.471150249000000e-002; 4.876584411000000e-001; 7.569738477000000e-002; 3.329729736000000e-001;-8.122687042000000e-002;-4.803559780000000e-001; 7.161545008000000e-002; 3.338513374000000e-001; 7.697243988999999e-002; 3.328598440000000e-001;-2.474695593000000e-001; 4.605739117000000e-001; 8.331638575000000e-002; 3.275272548000000e-001; 2.007595748000000e-001;-4.275931120000000e-001;-8.406919240999999e-002;-4.797895253000000e-001; 8.157187700000000e-002; 3.278883696000000e-001; 3.548038751000000e-002; 4.984356463000000e-001; 7.765458524000000e-002; 3.289816678000000e-001; 7.182534784000000e-002; 3.327047527000000e-001; 2.036264539000000e-001;-4.273782969000000e-001; 7.903510331999999e-002; 3.296925426000000e-001;-2.572250366000000e-001; 4.454990029000000e-001;
