#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 4.971979186000000e-002; 4.794627428000000e-001; 2.145569772000000e-001; 2.658505738000000e-001;-6.377530098000001e-002;-4.893926680000000e-001; 2.100444585000000e-001; 2.687668204000000e-001; 2.171596438000000e-001; 2.640331686000000e-001;-2.302944809000000e-001; 4.592482448000000e-001; 2.203872204000000e-001; 2.565825582000000e-001; 2.210670114000000e-001;-4.277486801000000e-001;-6.630422175000000e-002;-4.903165698000000e-001; 2.172173560000000e-001; 2.589028180000000e-001; 4.877682775000000e-002; 4.912832677000000e-001; 2.128902972000000e-001; 2.620413303000000e-001; 2.125467360000000e-001; 2.654298246000000e-001; 2.218348831000000e-001;-4.295190275000000e-001; 2.175656259000000e-001; 2.597876787000000e-001;-2.416720837000000e-001; 4.452055097000000e-001;
2.000000000000000e+000; 4.972784221000000e-002; 4.794999659000000e-001; 2.146544456000000e-001; 2.658095360000000e-001;-6.373841315999999e-002;-4.893893898000000e-001; 2.100631893000000e-001; 2.687432170000000e-001; 2.170925885000000e-001; 2.641081512000000e-001;-2.302831709000000e-001; 4.592722356000000e-001; 2.204152197000000e-001; 2.565622926000000e-001; 2.209960669000000e-001;-4.278091788000000e-001;-6.623347104000001e-002;-4.903383851000000e-001; 2.172888666000000e-001; 2.589137554000000e-001; 4.873000830000000e-002; 4.913100600000000e-001; 2.128657997000000e-001; 2.619715929000000e-001; 2.125685662000000e-001; 2.654649615000000e-001; 2.218463123000000e-001;-4.295692742000000e-001; 2.175825387000000e-001; 2.597468197000000e-001;-2.416712195000000e-001; 4.452511668000000e-001;
3.000000000000000e+000; 4.970625043000000e-002; 4.794999659000000e-001; 2.147194445000000e-001; 2.657454610000000e-001;-6.380670518000001e-002;-4.894615114000000e-001; 2.100377679000000e-001; 2.687314749000000e-001; 2.171198875000000e-001; 2.640653551000000e-001;-2.302603722000000e-001; 4.592643082000000e-001; 2.203296721000000e-001; 2.566087544000000e-001; 2.209948003000000e-001;-4.277914166000000e-001;-6.625148654000000e-002;-4.903070033000000e-001; 2.173017710000000e-001; 2.588452399000000e-001; 4.871518165000000e-002; 4.913173914000000e-001; 2.128942162000000e-001; 2.620156407000000e-001; 2.125362456000000e-001; 2.654458582000000e-001; 2.217902392000000e-001;-4.295858741000000e-001; 2.175461203000000e-001; 2.598048747000000e-001;-2.417195886000000e-001; 4.452100694000000e-001;
4.000000000000000e+000; 4.972091317000000e-002; 4.795005322000000e-001; 2.146107852000000e-001; 2.658523023000000e-001;-6.377992034000000e-002;-4.893742502000000e-001; 2.100415975000000e-001; 2.687051892000000e-001; 2.172206044000000e-001; 2.640170753000000e-001;-2.303052098000000e-001; 4.592860937000000e-001; 2.202818692000000e-001; 2.566719651000000e-001; 2.210400403000000e-001;-4.277690649000000e-001;-6.632278115000000e-002;-4.903522730000000e-001; 2.172441632000000e-001; 2.589194775000000e-001; 4.869264737000000e-002; 4.913090765000000e-001; 2.129081786000000e-001; 2.619969845000000e-001; 2.126115412000000e-001; 2.654182613000000e-001; 2.218611687000000e-001;-4.295342267000000e-001; 2.174989134000000e-001; 2.598495781000000e-001;-2.416416854000000e-001; 4.452294409000000e-001;
5.000000000000000e+000; 4.968236759000000e-002; 4.794582725000000e-001; 2.145955116000000e-001; 2.657698691000000e-001;-6.375023723000001e-002;-4.894046783000000e-001; 2.101091444000000e-001; 2.687210143000000e-001; 2.171657234000000e-001; 2.640440464000000e-001;-2.302796096000000e-001; 4.592359364000000e-001; 2.203613967000000e-001; 2.566111088000000e-001; 2.210185379000000e-001;-4.277851880000000e-001;-6.628836690999999e-002;-4.903498888000000e-001; 2.172620296000000e-001; 2.589119673000000e-001; 4.873569682000000e-002; 4.913113713000000e-001; 2.128853351000000e-001; 2.619887590000000e-001; 2.125753313000000e-001; 2.654339373000000e-001; 2.218462229000000e-001;-4.295341969000000e-001; 2.175548822000000e-001; 2.597808242000000e-001;-2.416662276000000e-001; 4.452206790000000e-001;
6.000000000000000e+000; 4.976124689000000e-002; 4.794768393000000e-001; 2.146274447000000e-001; 2.657638788000000e-001;-6.375558674000000e-002;-4.893863201000000e-001; 2.100413591000000e-001; 2.687663436000000e-001; 2.170972973000000e-001; 2.640715539000000e-001;-2.303036749000000e-001; 4.592643678000000e-001; 2.203828394000000e-001; 2.565871179000000e-001; 2.209699601000000e-001;-4.278062284000000e-001;-6.623633206000000e-002;-4.903380573000000e-001; 2.172853649000000e-001; 2.588444352000000e-001; 4.871859774000000e-002; 4.913017452000000e-001; 2.128643245000000e-001; 2.620343566000000e-001; 2.125637084000000e-001; 2.654294074000000e-001; 2.218054235000000e-001;-4.295683503000000e-001; 2.175557464000000e-001; 2.598076165000000e-001;-2.416821718000000e-001; 4.452030063000000e-001;
7.000000000000000e+000; 4.973953962000000e-002; 4.794610441000000e-001; 2.146651298000000e-001; 2.657296658000000e-001;-6.378687918000001e-002;-4.893890917000000e-001; 2.100395113000000e-001; 2.687713206000000e-001; 2.171218246000000e-001; 2.640772164000000e-001;-2.302861065000000e-001; 4.592248499000000e-001; 2.203948796000000e-001; 2.565971613000000e-001; 2.209709734000000e-001;-4.277744889000000e-001;-6.630624086000000e-002;-4.903286397000000e-001; 2.173050791000000e-001; 2.588554919000000e-001; 4.875765741000000e-002; 4.912991226000000e-001; 2.128701508000000e-001; 2.620202303000000e-001; 2.125272155000000e-001; 2.654597759000000e-001; 2.218061239000000e-001;-4.295829833000000e-001; 2.175758034000000e-001; 2.597667575000000e-001;-2.416511476000000e-001; 4.452589452000000e-001;
8.000000000000000e+000; 4.968432337000000e-002; 4.794563651000000e-001; 2.145916671000000e-001; 2.658145428000000e-001;-6.377645581999999e-002;-4.894004166000000e-001; 2.100587189000000e-001; 2.687316835000000e-001; 2.171955556000000e-001; 2.640123963000000e-001;-2.303303182000000e-001; 4.592319727000000e-001; 2.203350514000000e-001; 2.566495836000000e-001; 2.211021185000000e-001;-4.277547896000000e-001;-6.630633026000000e-002;-4.902991951000000e-001; 2.172210217000000e-001; 2.588892281000000e-001; 4.874735326000000e-002; 4.913343191000000e-001; 2.128875852000000e-001; 2.620389163000000e-001; 2.126111090000000e-001; 2.654277682000000e-001; 2.218512744000000e-001;-4.295120835000000e-001; 2.175509930000000e-001; 2.598021626000000e-001;-2.416635752000000e-001; 4.452202320000000e-001;
9.000000000000000e+000; 4.970211536000000e-002; 4.795371294000000e-001; 2.145733833000000e-001; 2.658493519000000e-001;-6.371402740000000e-002;-4.894551337000000e-001; 2.100674510000000e-001; 2.687600255000000e-001; 2.171156555000000e-001; 2.640846372000000e-001;-2.303244025000000e-001; 4.592798054000000e-001; 2.203709632000000e-001; 2.565883696000000e-001; 2.210678458000000e-001;-4.277633727000000e-001;-6.625323743000000e-002;-4.903165996000000e-001; 2.172581851000000e-001; 2.589030266000000e-001; 4.870988056000000e-002; 4.912799001000000e-001; 2.129045427000000e-001; 2.620212734000000e-001; 2.125562131000000e-001; 2.654557824000000e-001; 2.218447775000000e-001;-4.294852018000000e-001; 2.175404727000000e-001; 2.597504258000000e-001;-2.416545600000000e-001; 4.452295005000000e-001;
1.000000000000000e+001; 4.963210970000000e-002; 4.795512557000000e-001; 2.146577388000000e-001; 2.657822669000000e-001;-6.371710449000000e-002;-4.894561470000000e-001; 2.099847049000000e-001; 2.687669694000000e-001; 2.170502841000000e-001; 2.641242146000000e-001;-2.303252071000000e-001; 4.592926502000000e-001; 2.203636765000000e-001; 2.566083372000000e-001; 2.209714651000000e-001;-4.277947545000000e-001;-6.622300297000000e-002;-4.903986454000000e-001; 2.172795832000000e-001; 2.589096129000000e-001; 4.870958999000000e-002; 4.913288057000000e-001; 2.129076123000000e-001; 2.620007098000000e-001; 2.125429064000000e-001; 2.654691041000000e-001; 2.218273133000000e-001;-4.295787215000000e-001; 2.175314724000000e-001; 2.597794831000000e-001;-2.417147905000000e-001; 4.452535510000000e-001;
