#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 4.968517646000000e-002; 4.857741296000000e-001; 9.427858144000000e-002; 3.286958933000000e-001;-6.626485288000000e-002;-4.825339913000000e-001; 9.000585228000001e-002; 3.297380507000000e-001; 9.562603384000000e-002; 3.285717368000000e-001;-2.343405336000000e-001; 4.573598206000000e-001; 1.015483141000000e-001; 3.228969276000000e-001; 2.137322724000000e-001;-4.307242036000000e-001;-6.875625998000000e-002;-4.821962416000000e-001; 9.949638695000000e-002; 3.232895732000000e-001; 4.894146323000000e-002; 4.964578450000000e-001; 9.529712796000001e-002; 3.246245086000000e-001; 9.063399582999999e-002; 3.284698427000000e-001; 2.162014246000000e-001;-4.307865798000000e-001; 9.750713408000000e-002; 3.252246678000000e-001;-2.443129718000000e-001; 4.429024458000000e-001;
2.000000000000000e+000; 4.967816919000000e-002; 4.857664704000000e-001; 9.422686696000000e-002; 3.287328184000000e-001;-6.628730148000001e-002;-4.825162590000000e-001; 8.996523917000000e-002; 3.297396302000000e-001; 9.550880640999999e-002; 3.285852969000000e-001;-2.343796492000000e-001; 4.573959708000000e-001; 1.015945822000000e-001; 3.229124248000000e-001; 2.136407495000000e-001;-4.306870401000000e-001;-6.873226166000000e-002;-4.822640121000000e-001; 9.951120615000000e-002; 3.233127296000000e-001; 4.895338416000000e-002; 4.964570999000000e-001; 9.535726160000001e-002; 3.246084452000000e-001; 9.055937827000000e-002; 3.285120428000000e-001; 2.161712795000000e-001;-4.307649136000000e-001; 9.750070423000000e-002; 3.252056539000000e-001;-2.442707866000000e-001; 4.429108202000000e-001;
3.000000000000000e+000; 4.966508597000000e-002; 4.857107103000000e-001; 9.434368461000001e-002; 3.287120163000000e-001;-6.630824506000001e-002;-4.825450480000000e-001; 8.996038139000000e-002; 3.297477663000000e-001; 9.552138299000000e-002; 3.285901248000000e-001;-2.343699783000000e-001; 4.573616385000000e-001; 1.015514880000000e-001; 3.228714168000000e-001; 2.136268169000000e-001;-4.306929111000000e-001;-6.873025000000001e-002;-4.822272360000000e-001; 9.953219444000000e-002; 3.233161867000000e-001; 4.894747585000000e-002; 4.964284599000000e-001; 9.532673657000000e-002; 3.246106207000000e-001; 9.058115630999999e-002; 3.285073936000000e-001; 2.161572278000000e-001;-4.307829142000000e-001; 9.749042243000000e-002; 3.251835108000000e-001;-2.442647070000000e-001; 4.428785145000000e-001;
4.000000000000000e+000; 4.973570257000000e-002; 4.857228994000000e-001; 9.426663816000000e-002; 3.286958635000000e-001;-6.634708494000000e-002;-4.824851453000000e-001; 9.000119567000001e-002; 3.298373222000000e-001; 9.561182559000001e-002; 3.285568953000000e-001;-2.343932390000000e-001; 4.574201703000000e-001; 1.015309468000000e-001; 3.228766322000000e-001; 2.137171328000000e-001;-4.306907952000000e-001;-6.886878610000000e-002;-4.822309613000000e-001; 9.953130782000000e-002; 3.233384490000000e-001; 4.898519069000000e-002; 4.964152873000000e-001; 9.533651173000000e-002; 3.245966434000000e-001; 9.063310176000000e-002; 3.284554482000000e-001; 2.161964476000000e-001;-4.308395386000000e-001; 9.752284735000000e-002; 3.251916468000000e-001;-2.442788035000000e-001; 4.429067373000000e-001;
5.000000000000000e+000; 4.973810539000000e-002; 4.856916666000000e-001; 9.413728118000000e-002; 3.287365139000000e-001;-6.630450487000000e-002;-4.825016558000000e-001; 9.001788497000000e-002; 3.297825456000000e-001; 9.559115022000000e-002; 3.285266757000000e-001;-2.344031483000000e-001; 4.573923051000000e-001; 1.015635803000000e-001; 3.229278326000000e-001; 2.137367725000000e-001;-4.307058156000000e-001;-6.882296503000000e-002;-4.821567237000000e-001; 9.944178164000000e-002; 3.233339787000000e-001; 4.896648228000000e-002; 4.964138865000000e-001; 9.535711259000000e-002; 3.245823681000000e-001; 9.063515812000000e-002; 3.284823298000000e-001; 2.162646651000000e-001;-4.307468235000000e-001; 9.753438085000001e-002; 3.252401948000000e-001;-2.442740053000000e-001; 4.428885877000000e-001;
6.000000000000000e+000; 4.970931634000000e-002; 4.857307971000000e-001; 9.419450909000000e-002; 3.287259638000000e-001;-6.629873812000001e-002;-4.825448096000000e-001; 8.996789157000000e-002; 3.297864199000000e-001; 9.546883404000001e-002; 3.286237121000000e-001;-2.344439775000000e-001; 4.574065804000000e-001; 1.015678644000000e-001; 3.228645027000000e-001; 2.137017101000000e-001;-4.306742549000000e-001;-6.874421239000000e-002;-4.822062254000000e-001; 9.942534566000000e-002; 3.233614266000000e-001; 4.891139269000000e-002; 4.964480996000000e-001; 9.534418583000000e-002; 3.246173859000000e-001; 9.059381485000000e-002; 3.284825981000000e-001; 2.162365615000000e-001;-4.307616353000000e-001; 9.754934161999999e-002; 3.251911104000000e-001;-2.442810237000000e-001; 4.428566992000000e-001;
7.000000000000000e+000; 4.967235029000000e-002; 4.857347012000000e-001; 9.428332746000000e-002; 3.286786973000000e-001;-6.632804126000000e-002;-4.825007021000000e-001; 8.994841576000000e-002; 3.297805488000000e-001; 9.553533792000001e-002; 3.285748065000000e-001;-2.343418747000000e-001; 4.573758841000000e-001; 1.015264988000000e-001; 3.229016960000000e-001; 2.136483490000000e-001;-4.307339489000000e-001;-6.873361766000000e-002;-4.822229445000000e-001; 9.954001755000000e-002; 3.233141899000000e-001; 4.893898964000000e-002; 4.964277148000000e-001; 9.534090012000000e-002; 3.246124089000000e-001; 9.061323105999999e-002; 3.285205662000000e-001; 2.161289901000000e-001;-4.308180213000000e-001; 9.749446808999999e-002; 3.252138793000000e-001;-2.442530096000000e-001; 4.429121315000000e-001;
8.000000000000000e+000; 4.970039427000000e-002; 4.857113659000000e-001; 9.427483380000000e-002; 3.287216425000000e-001;-6.632134318000001e-002;-4.825378060000000e-001; 8.995439857000000e-002; 3.297869563000000e-001; 9.565156698000001e-002; 3.285202384000000e-001;-2.343428433000000e-001; 4.573734403000000e-001; 1.014906466000000e-001; 3.228938878000000e-001; 2.137196064000000e-001;-4.307306707000000e-001;-6.879438459999999e-002;-4.822040498000000e-001; 9.949991107000000e-002; 3.233206868000000e-001; 4.895928875000000e-002; 4.964500666000000e-001; 9.535431117000000e-002; 3.246158063000000e-001; 9.064254165000001e-002; 3.284913301000000e-001; 2.161938697000000e-001;-4.307787418000000e-001; 9.749879688000000e-002; 3.251801729000000e-001;-2.442623526000000e-001; 4.429208040000000e-001;
9.000000000000000e+000; 4.968113825000000e-002; 4.857556522000000e-001; 9.418861568000000e-002; 3.287459016000000e-001;-6.625013798000000e-002;-4.825229645000000e-001; 8.994856477000000e-002; 3.297739923000000e-001; 9.559662640000000e-002; 3.285753131000000e-001;-2.343894541000000e-001; 4.573873878000000e-001; 1.015534103000000e-001; 3.228963315000000e-001; 2.137589455000000e-001;-4.306842685000000e-001;-6.882286817000000e-002;-4.822239876000000e-001; 9.951535612000000e-002; 3.233363926000000e-001; 4.892963544000000e-002; 4.964432418000000e-001; 9.535340965000000e-002; 3.246030211000000e-001; 9.061864018000000e-002; 3.284713626000000e-001; 2.162177563000000e-001;-4.307422340000000e-001; 9.749747068000000e-002; 3.252085447000000e-001;-2.443007380000000e-001; 4.428684711000000e-001;
1.000000000000000e+001; 4.968813062000000e-002; 4.857484698000000e-001; 9.421816467999999e-002; 3.287351131000000e-001;-6.620505452000000e-002;-4.825562537000000e-001; 8.993208408000000e-002; 3.297970593000000e-001; 9.554184973000000e-002; 3.285745382000000e-001;-2.344017625000000e-001; 4.573564231000000e-001; 1.016114950000000e-001; 3.228781819000000e-001; 2.136538923000000e-001;-4.306868613000000e-001;-6.882310659000000e-002;-4.822449684000000e-001; 9.947729856000000e-002; 3.233102560000000e-001; 4.896058142000000e-002; 4.964216948000000e-001; 9.531444310999999e-002; 3.245866597000000e-001; 9.064032137000000e-002; 3.284954429000000e-001; 2.161952853000000e-001;-4.307815731000000e-001; 9.757027775000000e-002; 3.251886070000000e-001;-2.442113757000000e-001; 4.428750873000000e-001;
