#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 5.295006186000000e-002; 4.778190255000000e-001; 2.207953185000000e-001; 2.604308426000000e-001;-6.057351455000000e-002;-4.897443056000000e-001; 2.160852849000000e-001; 2.638921440000000e-001; 2.229409069000000e-001; 2.587348223000000e-001;-2.275265306000000e-001; 4.567559659000000e-001; 2.262710631000000e-001; 2.505116761000000e-001; 2.228197455000000e-001;-4.298765659000000e-001;-6.298583000999999e-002;-4.907054603000000e-001; 2.234937847000000e-001; 2.526530325000000e-001; 5.430318415000000e-002; 4.892390072000000e-001; 2.189528644000000e-001; 2.563868463000000e-001; 2.186587602000000e-001; 2.604527175000000e-001; 2.229119390000000e-001;-4.322450161000000e-001; 2.238309830000000e-001; 2.538859248000000e-001;-2.395233363000000e-001; 4.426532686000000e-001;
2.000000000000000e+000; 5.296731740000000e-002; 4.778293669000000e-001; 2.207472771000000e-001; 2.604267597000000e-001;-6.051146984000000e-002;-4.897793531000000e-001; 2.160876691000000e-001; 2.639330029000000e-001; 2.229870409000000e-001; 2.587396204000000e-001;-2.274696678000000e-001; 4.567178488000000e-001; 2.262832671000000e-001; 2.504536808000000e-001; 2.228373587000000e-001;-4.299495220000000e-001;-6.303651631000000e-002;-4.907443821000000e-001; 2.234632075000000e-001; 2.526389062000000e-001; 5.430081859000000e-002; 4.892549217000000e-001; 2.190394849000000e-001; 2.564044893000000e-001; 2.187027782000000e-001; 2.604171932000000e-001; 2.229556143000000e-001;-4.321938157000000e-001; 2.238523215000000e-001; 2.539364994000000e-001;-2.395011038000000e-001; 4.427373409000000e-001;
3.000000000000000e+000; 5.293405056000000e-002; 4.778369963000000e-001; 2.208123356000000e-001; 2.603875995000000e-001;-6.051629409000000e-002;-4.897452891000000e-001; 2.160167247000000e-001; 2.639763355000000e-001; 2.229348421000000e-001; 2.587857544000000e-001;-2.275105566000000e-001; 4.567362964000000e-001; 2.262632698000000e-001; 2.504171133000000e-001; 2.227552235000000e-001;-4.299294651000000e-001;-6.302510202000000e-002;-4.907465577000000e-001; 2.235351801000000e-001; 2.526270449000000e-001; 5.430381373000000e-002; 4.891941547000000e-001; 2.189651877000000e-001; 2.563768327000000e-001; 2.186681628000000e-001; 2.604229450000000e-001; 2.229506820000000e-001;-4.322835505000000e-001; 2.238123119000000e-001; 2.538780272000000e-001;-2.395239770000000e-001; 4.426870346000000e-001;
4.000000000000000e+000; 5.296295881000000e-002; 4.778798521000000e-001; 2.208956182000000e-001; 2.603454888000000e-001;-6.057149917000000e-002;-4.897558987000000e-001; 2.160091400000000e-001; 2.639939487000000e-001; 2.229113132000000e-001; 2.587921917000000e-001;-2.274704129000000e-001; 4.567340314000000e-001; 2.262781411000000e-001; 2.504880428000000e-001; 2.227408290000000e-001;-4.299544394000000e-001;-6.296657025999999e-002;-4.907357097000000e-001; 2.235628217000000e-001; 2.525823712000000e-001; 5.430193245000000e-002; 4.892173707000000e-001; 2.190144807000000e-001; 2.563973963000000e-001; 2.186689675000000e-001; 2.604582608000000e-001; 2.228655964000000e-001;-4.322839379000000e-001; 2.238221318000000e-001; 2.538931072000000e-001;-2.395382375000000e-001; 4.427053332000000e-001;
5.000000000000000e+000; 5.297034979000000e-002; 4.778840244000000e-001; 2.208228707000000e-001; 2.603942454000000e-001;-6.056857482000000e-002;-4.897673726000000e-001; 2.160673440000000e-001; 2.639633417000000e-001; 2.229943871000000e-001; 2.587206066000000e-001;-2.274801284000000e-001; 4.567270577000000e-001; 2.262430340000000e-001; 2.505013645000000e-001; 2.228462994000000e-001;-4.299364686000000e-001;-6.306894869000000e-002;-4.907660484000000e-001; 2.235193104000000e-001; 2.526160181000000e-001; 5.429244414000000e-002; 4.892552197000000e-001; 2.189983875000000e-001; 2.563906312000000e-001; 2.186973989000000e-001; 2.604601681000000e-001; 2.229210436000000e-001;-4.322554767000000e-001; 2.238521576000000e-001; 2.539033294000000e-001;-2.395567596000000e-001; 4.427397549000000e-001;
6.000000000000000e+000; 5.297407880000000e-002; 4.778708816000000e-001; 2.207942158000000e-001; 2.604478896000000e-001;-6.057942659000000e-002;-4.897574186000000e-001; 2.160885632000000e-001; 2.639596164000000e-001; 2.229094058000000e-001; 2.587496042000000e-001;-2.274787724000000e-001; 4.567611217000000e-001; 2.263172567000000e-001; 2.504382432000000e-001; 2.228912711000000e-001;-4.299491346000000e-001;-6.297221779999999e-002;-4.907586575000000e-001; 2.234866023000000e-001; 2.526607811000000e-001; 5.432582274000000e-002; 4.892125428000000e-001; 2.190042287000000e-001; 2.563779652000000e-001; 2.186726034000000e-001; 2.604331970000000e-001; 2.229524851000000e-001;-4.322318137000000e-001; 2.238575071000000e-001; 2.539037168000000e-001;-2.395528704000000e-001; 4.427478909000000e-001;
7.000000000000000e+000; 5.295152962000000e-002; 4.778733552000000e-001; 2.208178043000000e-001; 2.604163289000000e-001;-6.052678078000000e-002;-4.897875190000000e-001; 2.159965783000000e-001; 2.639538348000000e-001; 2.228886485000000e-001; 2.588167191000000e-001;-2.275272310000000e-001; 4.567255378000000e-001; 2.263337076000000e-001; 2.504026592000000e-001; 2.227631509000000e-001;-4.299553633000000e-001;-6.297136098000000e-002;-4.907633662000000e-001; 2.234803438000000e-001; 2.526446581000000e-001; 5.434703082000000e-002; 4.892179370000000e-001; 2.190147340000000e-001; 2.563785911000000e-001; 2.186340243000000e-001; 2.605172098000000e-001; 2.229850739000000e-001;-4.322633445000000e-001; 2.238993496000000e-001; 2.538762689000000e-001;-2.395459861000000e-001; 4.427091181000000e-001;
8.000000000000000e+000; 5.299485102000000e-002; 4.778518677000000e-001; 2.208063304000000e-001; 2.603834867000000e-001;-6.055308506000000e-002;-4.897369146000000e-001; 2.160606682000000e-001; 2.639657259000000e-001; 2.229458690000000e-001; 2.587486207000000e-001;-2.274915725000000e-001; 4.567157626000000e-001; 2.262601107000000e-001; 2.504488826000000e-001; 2.228008956000000e-001;-4.299365282000000e-001;-6.301154941000001e-002;-4.907479584000000e-001; 2.235254794000000e-001; 2.526293993000000e-001; 5.432768539000000e-002; 4.892110527000000e-001; 2.189717442000000e-001; 2.563848794000000e-001; 2.186834961000000e-001; 2.603901923000000e-001; 2.229416668000000e-001;-4.322923422000000e-001; 2.238254398000000e-001; 2.539066374000000e-001;-2.395218015000000e-001; 4.427295923000000e-001;
9.000000000000000e+000; 5.295555294000000e-002; 4.778506160000000e-001; 2.207773626000000e-001; 2.603894472000000e-001;-6.058854237000000e-002;-4.897505343000000e-001; 2.161159068000000e-001; 2.639384270000000e-001; 2.229985297000000e-001; 2.587119043000000e-001;-2.275195569000000e-001; 4.567331374000000e-001; 2.262408286000000e-001; 2.505341172000000e-001; 2.228461504000000e-001;-4.299296141000000e-001;-6.298960000000001e-002;-4.907681644000000e-001; 2.235125154000000e-001; 2.526760101000000e-001; 5.430378765000000e-002; 4.892308116000000e-001; 2.189979255000000e-001; 2.563970089000000e-001; 2.187180519000000e-001; 2.604001164000000e-001; 2.229767293000000e-001;-4.322557449000000e-001; 2.238080204000000e-001; 2.538873255000000e-001;-2.395514399000000e-001; 4.426932335000000e-001;
1.000000000000000e+001; 5.294612423000000e-002; 4.777973592000000e-001; 2.207460254000000e-001; 2.604468763000000e-001;-6.054856628000000e-002;-4.897334874000000e-001; 2.160861492000000e-001; 2.639621496000000e-001; 2.229691744000000e-001; 2.587655485000000e-001;-2.274863124000000e-001; 4.567041993000000e-001; 2.262756526000000e-001; 2.504300177000000e-001; 2.228287756000000e-001;-4.299430251000000e-001;-6.298863888000000e-002;-4.907543659000000e-001; 2.234646082000000e-001; 2.526629269000000e-001; 5.430582166000000e-002; 4.892276227000000e-001; 2.190029323000000e-001; 2.563898861000000e-001; 2.187013626000000e-001; 2.604205906000000e-001; 2.229879051000000e-001;-4.322337806000000e-001; 2.238609642000000e-001; 2.539169192000000e-001;-2.395059168000000e-001; 4.426834285000000e-001;
