#Read via matlab 
#  
trigger;Re(S11);Im(S11);Re(S12);Im(S12);Re(S13);Im(S13);Re(S14);Im(S14);Re(S21);Im(S21);Re(S22);Im(S22);Re(S23);Im(S23);Re(S24);Im(S24);Re(S31);Im(S31);Re(S32);Im(S32);Re(S33);Im(S33);Re(S34);Im(S34);Re(S41);Im(S41);Re(S42);Im(S42);Re(S43);Im(S43);Re(S44);Im(S44)
1.000000000000000e+000; 5.734721199000000e-002; 4.829258323000000e-001; 2.390959263000000e-001; 2.430210412000000e-001;-5.592428893000000e-002;-4.866808653000000e-001; 2.346075326000000e-001; 2.468959987000000e-001; 2.411586493000000e-001; 2.411990762000000e-001;-2.293499857000000e-001; 4.536845088000000e-001; 2.443646044000000e-001; 2.339512110000000e-001; 2.216866165000000e-001;-4.330165088000000e-001;-5.912415683000000e-002;-4.879277647000000e-001; 2.420321852000000e-001; 2.360655665000000e-001; 5.699733272000000e-002; 4.920720756000000e-001; 2.377485335000000e-001; 2.401453853000000e-001; 2.366162390000000e-001; 2.435120642000000e-001; 2.223571837000000e-001;-4.350596666000000e-001; 2.417440861000000e-001; 2.378931791000000e-001;-2.416319698000000e-001; 4.392516911000000e-001;
2.000000000000000e+000; 5.734920502000000e-002; 4.828909636000000e-001; 2.391571999000000e-001; 2.429874390000000e-001;-5.596993864000000e-002;-4.865939915000000e-001; 2.345350683000000e-001; 2.469372451000000e-001; 2.411454916000000e-001; 2.411850542000000e-001;-2.293190211000000e-001; 4.537118673000000e-001; 2.443270087000000e-001; 2.339581549000000e-001; 2.216611803000000e-001;-4.329803884000000e-001;-5.913297087000000e-002;-4.878886640000000e-001; 2.420620471000000e-001; 2.360462397000000e-001; 5.708367750000000e-002; 4.919886291000000e-001; 2.377228439000000e-001; 2.401611656000000e-001; 2.366045713000000e-001; 2.434997857000000e-001; 2.223494947000000e-001;-4.350943267000000e-001; 2.417082638000000e-001; 2.378972620000000e-001;-2.416558117000000e-001; 4.392439425000000e-001;
3.000000000000000e+000; 5.737020448000000e-002; 4.829030037000000e-001; 2.391349524000000e-001; 2.429927289000000e-001;-5.596057326000000e-002;-4.865918756000000e-001; 2.346011996000000e-001; 2.468945533000000e-001; 2.411995232000000e-001; 2.411735356000000e-001;-2.293018103000000e-001; 4.537129402000000e-001; 2.442715466000000e-001; 2.339843810000000e-001; 2.217245400000000e-001;-4.330099225000000e-001;-5.921992660000000e-002;-4.878932536000000e-001; 2.420358807000000e-001; 2.360576391000000e-001; 5.703665689000000e-002; 4.920013249000000e-001; 2.377509922000000e-001; 2.401762307000000e-001; 2.366715223000000e-001; 2.434998006000000e-001; 2.223879248000000e-001;-4.350767434000000e-001; 2.417061776000000e-001; 2.378894389000000e-001;-2.416475564000000e-001; 4.392418861000000e-001;
4.000000000000000e+000; 5.733467638000000e-002; 4.828781784000000e-001; 2.390183657000000e-001; 2.430906445000000e-001;-5.589803681000000e-002;-4.866098464000000e-001; 2.346261442000000e-001; 2.468735874000000e-001; 2.411595434000000e-001; 2.411692441000000e-001;-2.293106318000000e-001; 4.537069499000000e-001; 2.443513870000000e-001; 2.339389175000000e-001; 2.217343450000000e-001;-4.329350889000000e-001;-5.916541070000000e-002;-4.878689349000000e-001; 2.419746965000000e-001; 2.360650152000000e-001; 5.701065809000000e-002; 4.920130074000000e-001; 2.377729118000000e-001; 2.401864976000000e-001; 2.366091907000000e-001; 2.435236722000000e-001; 2.224680036000000e-001;-4.349906445000000e-001; 2.417631000000000e-001; 2.379160076000000e-001;-2.416433692000000e-001; 4.392006397000000e-001;
5.000000000000000e+000; 5.733552575000000e-002; 4.828888178000000e-001; 2.390374094000000e-001; 2.430226505000000e-001;-5.594984442000000e-002;-4.865931571000000e-001; 2.345762849000000e-001; 2.468922734000000e-001; 2.410932928000000e-001; 2.412466258000000e-001;-2.292936891000000e-001; 4.536835551000000e-001; 2.444028556000000e-001; 2.338583171000000e-001; 2.216754407000000e-001;-4.329673648000000e-001;-5.915018171000000e-002;-4.878948927000000e-001; 2.420192957000000e-001; 2.361028492000000e-001; 5.708598346000000e-002; 4.920169413000000e-001; 2.377656102000000e-001; 2.401698977000000e-001; 2.365713269000000e-001; 2.435119599000000e-001; 2.223984599000000e-001;-4.350333214000000e-001; 2.417474538000000e-001; 2.378339022000000e-001;-2.416908741000000e-001; 4.391852617000000e-001;
6.000000000000000e+000; 5.738703161000000e-002; 4.828816354000000e-001; 2.391045988000000e-001; 2.429816276000000e-001;-5.596783012000000e-002;-4.865978658000000e-001; 2.345876247000000e-001; 2.469757348000000e-001; 2.411432862000000e-001; 2.412729263000000e-001;-2.293519080000000e-001; 4.537159204000000e-001; 2.443240285000000e-001; 2.339299917000000e-001; 2.216708213000000e-001;-4.329867661000000e-001;-5.915014446000000e-002;-4.878485799000000e-001; 2.420135587000000e-001; 2.360558808000000e-001; 5.708084255000000e-002; 4.919799566000000e-001; 2.377652973000000e-001; 2.401602864000000e-001; 2.365729958000000e-001; 2.435504198000000e-001; 2.224049568000000e-001;-4.350677133000000e-001; 2.417239994000000e-001; 2.378614545000000e-001;-2.416681498000000e-001; 4.392227829000000e-001;
7.000000000000000e+000; 5.731530488000000e-002; 4.828377664000000e-001; 2.390816808000000e-001; 2.429813892000000e-001;-5.595989153000000e-002;-4.866390228000000e-001; 2.346193641000000e-001; 2.468739599000000e-001; 2.412007451000000e-001; 2.411421239000000e-001;-2.293099910000000e-001; 4.536990225000000e-001; 2.443151176000000e-001; 2.339863628000000e-001; 2.217456102000000e-001;-4.330017865000000e-001;-5.920843035000000e-002;-4.878697693000000e-001; 2.419828326000000e-001; 2.360914052000000e-001; 5.703338608000000e-002; 4.920364022000000e-001; 2.377914041000000e-001; 2.401625216000000e-001; 2.366449982000000e-001; 2.435428649000000e-001; 2.224373221000000e-001;-4.350439012000000e-001; 2.417129725000000e-001; 2.379100323000000e-001;-2.416557223000000e-001; 4.392637610000000e-001;
8.000000000000000e+000; 5.730972812000000e-002; 4.828344285000000e-001; 2.390349507000000e-001; 2.430763692000000e-001;-5.590580031000000e-002;-4.865853190000000e-001; 2.346140295000000e-001; 2.469111830000000e-001; 2.412142158000000e-001; 2.411457747000000e-001;-2.293426096000000e-001; 4.537127614000000e-001; 2.443376184000000e-001; 2.339825034000000e-001; 2.217603624000000e-001;-4.329987764000000e-001;-5.920717120000000e-002;-4.878744781000000e-001; 2.419782430000000e-001; 2.361085862000000e-001; 5.705887079000000e-002; 4.920088053000000e-001; 2.377732843000000e-001; 2.401864976000000e-001; 2.366312295000000e-001; 2.434819788000000e-001; 2.224837393000000e-001;-4.350123703000000e-001; 2.417106032000000e-001; 2.379133254000000e-001;-2.416869551000000e-001; 4.391914308000000e-001;
9.000000000000000e+000; 5.727430806000000e-002; 4.829021990000000e-001; 2.390502840000000e-001; 2.430080622000000e-001;-5.592539161000000e-002;-4.865901470000000e-001; 2.345524728000000e-001; 2.469234020000000e-001; 2.411293983000000e-001; 2.412407398000000e-001;-2.293393761000000e-001; 4.537173212000000e-001; 2.443178296000000e-001; 2.339534312000000e-001; 2.216953635000000e-001;-4.330125153000000e-001;-5.915319547000000e-002;-4.878734350000000e-001; 2.420462519000000e-001; 2.360646725000000e-001; 5.702414736000000e-002; 4.919859171000000e-001; 2.377683222000000e-001; 2.401384711000000e-001; 2.365905643000000e-001; 2.435277551000000e-001; 2.224061042000000e-001;-4.350694418000000e-001; 2.417540848000000e-001; 2.379035354000000e-001;-2.416799664000000e-001; 4.392436743000000e-001;
1.000000000000000e+001; 5.734047294000000e-002; 4.828285575000000e-001; 2.391521037000000e-001; 2.429748774000000e-001;-5.600214005000000e-002;-4.865819216000000e-001; 2.345753908000000e-001; 2.469140589000000e-001; 2.410893440000000e-001; 2.412523031000000e-001;-2.293445468000000e-001; 4.537274837000000e-001; 2.443079352000000e-001; 2.339538783000000e-001; 2.216366529000000e-001;-4.329679012000000e-001;-5.912221968000000e-002;-4.878472090000000e-001; 2.420733720000000e-001; 2.360581756000000e-001; 5.704990029000000e-002; 4.920169413000000e-001; 2.377780378000000e-001; 2.401511371000000e-001; 2.366040200000000e-001; 2.435195595000000e-001; 2.223680317000000e-001;-4.351098239000000e-001; 2.417263836000000e-001; 2.378631532000000e-001;-2.416371852000000e-001; 4.392655790000000e-001;
